index,datetime,city,state,country,latitude,longitude ,mintemp,maxtemp,avgtemp,totalsnow,sunhour
2670,10/15/2012 08:00,hagerstown,md,us,39.6416667,-77.7202778,9.642857142857142,19.857142857142858,14.571428571428571,0.0,10.635714285714286
2671,10/15/2012 10:30,normandy,tn,us,35.4519444,-86.26,9.642857142857142,19.857142857142858,14.571428571428571,0.0,10.635714285714286
2672,10/15/2012 16:40,murfreesboro,tn,us,35.8455556,-86.3902778,9.642857142857142,19.857142857142858,14.571428571428571,0.0,10.635714285714286
2673,10/15/2012 17:45,tooele,ut,us,40.5308333,-112.2975,9.642857142857142,19.857142857142858,14.571428571428571,0.0,10.635714285714286
2674,10/15/2012 18:20,st. louis,mo,us,38.6272222,-90.1977778,9.642857142857142,19.857142857142858,14.571428571428571,0.0,10.635714285714286
2675,10/15/2012 18:50,menomonee falls,wi,us,43.1788889,-88.1172222,9.642857142857142,19.857142857142858,14.571428571428571,0.0,10.635714285714286
2676,10/15/2012 19:00,bloomington,mn,us,44.8408333,-93.2980556,9.642857142857142,19.857142857142858,14.571428571428571,0.0,10.635714285714286
2677,10/15/2012 19:00,castor,la,us,32.2530556,-93.1655556,9.642857142857142,19.857142857142858,14.571428571428571,0.0,10.635714285714286
2678,10/15/2012 21:02,escondido,ca,us,33.1191667,-117.0855556,9.642857142857142,19.857142857142858,14.571428571428571,0.0,10.635714285714286
2679,10/15/2012 22:00,st. cloud,mn,us,45.5608333,-94.1622222,9.642857142857142,19.857142857142858,14.571428571428571,0.0,10.635714285714286
2680,10/15/2013 06:20,fremont,ca,us,37.5483333,-121.9875,10.35,20.3,15.0,0.0,10.47
2681,10/15/2013 09:15,hunlock creek,pa,us,41.2058333,-76.0663889,10.35,20.3,15.0,0.0,10.47
2682,10/15/2013 14:45,bowdoinham,me,us,44.01,-69.8988889,10.35,20.3,15.0,0.0,10.47
2683,10/15/2013 15:00,bethesda,md,us,38.9805556,-77.1005556,10.35,20.3,15.0,0.0,10.47
2684,10/15/2013 16:00,lake havasu city,az,us,34.4838889,-114.3216667,10.35,20.3,15.0,0.0,10.47
2685,10/15/2013 16:45,bozeman,mt,us,45.6797222,-111.0377778,10.35,20.3,15.0,0.0,10.47
2686,10/15/2013 17:00,kirkland (canada),qc,ca,45.46,-73.85,10.35,20.3,15.0,0.0,10.47
2687,10/15/2013 19:30,rockford,il,us,42.2711111,-89.0938889,10.35,20.3,15.0,0.0,10.47
2688,10/15/2013 19:35,brigantine,nj,us,39.41,-74.365,10.35,20.3,15.0,0.0,10.47
2689,10/15/2013 20:00,boise,id,us,43.6136111,-116.2025,10.35,20.3,15.0,0.0,10.47
2690,10/15/2013 20:00,yadkinville,nc,us,36.1344444,-80.6597222,10.35,20.3,15.0,0.0,10.47
2691,10/15/2013 20:30,ocean isle beach,nc,us,33.8941667,-78.4269444,10.35,20.3,15.0,0.0,10.47
